,Country/Region,CapitalName_x,CapitalLatitude,CapitalLongitude
0,Afghanistan,Kabul,34.516666666666666,69.18333299999999
1,Albania,Tirana,41.31666666666667,19.816667000000002
2,Algeria,Algiers,36.75,3.05
3,Andorra,Andorra la Vella,42.5,1.516667
4,Angola,Luanda,-8.833333333333334,13.216667000000001
5,Antigua and Barbuda,Saint John's,17.116666666666667,-61.85
6,Argentina,Buenos Aires,-34.583333333333336,-58.666667000000004
7,Armenia,Yerevan,40.16666666666666,44.5
8,Australia,Canberra,-35.266666666666666,149.133333
9,Austria,Vienna,48.2,16.366667
10,Azerbaijan,Baku,40.38333333333333,49.866667
11,Bahrain,Manama,26.23333333333333,50.566666999999995
12,Bangladesh,Dhaka,23.716666666666665,90.4
13,Barbados,Bridgetown,13.1,-59.61666700000001
14,Belarus,Minsk,53.9,27.566667
15,Belgium,Brussels,50.83333333333334,4.3333330000000005
16,Belize,Belmopan,17.25,-88.766667
17,Benin,Porto-Novo,6.4833333333333325,2.6166669999999996
18,Bhutan,Thimphu,27.466666666666665,89.633333
19,Bolivia,La Paz,-16.5,-68.15
20,Bosnia and Herzegovina,Sarajevo,43.86666666666667,18.416667
21,Botswana,Gaborone,-24.63333333333333,25.9
22,Brazil,Brasilia,-15.783333333333333,-47.916667
23,Bulgaria,Sofia,42.68333333333333,23.316667000000002
24,Burkina Faso,Ouagadougou,12.366666666666667,-1.516667
25,Burundi,"Gitega (political), Bujumbura (economic)",-3.3666666666666667,29.35
26,Cambodia,Phnom Penh,11.55,104.91666699999999
27,Cameroon,Yaounde,3.8666666666666663,11.516667
28,Canada,Ottawa,45.41666666666666,-75.7
29,Cape Verde,Praia,14.916666666666664,-23.516667
30,Central African Republic,Bangui,4.366666666666666,18.583333
31,Chad,N'Djamena,12.1,15.033332999999999
32,Chile,Santiago,-33.45,-70.666667
33,China,Beijing,39.91666666666666,116.38333300000001
34,Colombia,Bogota,4.6,-74.083333
35,Comoros,Moroni,-11.7,43.233333
36,Costa Rica,San Jose,9.933333333333334,-84.083333
37,Croatia,Zagreb,45.8,16.0
38,Cuba,Havana,23.11666666666667,-82.35
39,Cyprus,Nicosia,35.166666666666664,33.366667
40,Czech Republic,Prague,50.08333333333334,14.466667000000001
41,Democratic Republic of the Congo,Kinshasa,-4.316666666666666,15.3
42,Denmark,Copenhagen,55.66666666666666,12.583333
