Country/Region,Languages
Abkhazia,"Abkhaz, Russian"
Afghanistan,"Pashto, Dari"
Albania,Albanian
Algeria,"Arabic, Tamazight"
Andorra,Catalan
Angola,Portuguese
Antigua and Barbuda,English (de facto)
Argentina,Spanish (de facto)
Armenia,Armenian
Artsakh,Armenian
Australia,English (de facto)
Austria,German
Azerbaijan,
Bahamas,English
Bahrain,Arabic
Bangladesh,Bengali
Barbados,English
Belarus,"Belarusian, Russian"
Belgium,"Dutch, French, German"
Belize,English
Benin,French
Bhutan,Dzongkha
Bolivia,"Castilian, (37 other languages)"
Bosnia and Herzegovina,Bosnian (de facto)
Botswana,"English, Tswana"
Brazil,Portuguese
Brunei,"Malay, English"
Bulgaria,Bulgarian
Burkina Faso,French
Burundi,"French, Kirundi, English"
Cambodia,Khmer
Cameroon,"English, French"
Canada,"English (Federal), French (Federal)"
Cape Verde,Portuguese
Central African Republic,French
Chad,"Arabic, French"
Chile,Spanish (de facto)
China,Mandarin
Colombia,Spanish
Comoros,"Arabic, Comorian, French"
Democratic Republic of the Congo,French
Republic of the Congo,French
Costa Rica,Spanish
Croatia,Croatian
Cuba,Spanish
Cyprus,Greek
Czech Republic,Czech
Denmark,Danish
Djibouti,"Arabic, French"
Dominica,English
Dominican Republic,Spanish
East Timor,Portuguese
Ecuador,"Spanish, Quechua (official language of intercultural relation)"
Egypt,Arabic
El Salvador,Spanish
Equatorial Guinea,"French, Portuguese, Spanish"
Eritrea,Tigrinya
Estonia,Estonian
Eswatini,"English, Swazi"
Ethiopia,Amharic
Fiji,"English, Fijian, Fiji Hindi"
Finland,"Finnish, Swedish"
France,French
Gabon,French
The Gambia,English
Georgia,Georgian
Germany,German
Ghana,English
Greece,Greek
Grenada,English
Guatemala,Spanish
Guinea,French
Guinea-Bissau,Portuguese
Guyana,English
Haiti,"French, Haitian Creole"
Honduras,Spanish
"Hong Kong","Cantonese (de facto), English"
Hungary,Hungarian
Iceland,Icelandic
India,"Hindi, English"
Indonesia,Indonesian
Iran,Persian
Iraq,Arabic
